Id,Tech meta type,Filename,Filesize,Title,Date archived,Description,Pid,Created at,Updated at,Transcription text,Desc metadata,Discoverability,Md5,Date dl ingest,Date dl update,Dpla,Creator death date,Creation date,Primary author
1223611,image,000033215_0033.tif,26972896,UVa vs Clemson - Basketball,10/20/2015 12:46,1974-02-20 | 740034,uva-lib:2552384,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,f442cdbf3ed6216977297c019b99655f,,,FALSE,,,
1223612,image,000033215_0034.tif,27737666,UVa vs Clemson - Basketball,10/20/2015 12:46,1974-02-20 | 740034,uva-lib:2552385,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,aada42f31838243a9bd1afbd6fdcc3f9,,,FALSE,,,
1223613,image,000033215_0035.tif,27155536,UVa vs Clemson - Basketball,10/20/2015 12:46,1974-02-20 | 740034,uva-lib:2552386,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,44d2a21f4130f1ae97f9bf3e5cc88484,,,FALSE,,,
1223614,image,000033215_0036.tif,27460028,UVa vs Clemson - Basketball - Girls,10/20/2015 12:46,1974-02-21 | 740035,uva-lib:2552387,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,e0876d0343825ef236b6790f641e3b5f,,,FALSE,,,
1223615,image,000033215_0037.tif,27594952,UVa vs Clemson - Basketball - Girls,10/20/2015 12:46,1974-02-21 | 740035,uva-lib:2552388,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,923444a41ad180ddb58396f53862272f,,,FALSE,,,
1223616,image,000033215_0038.tif,27764416,UVa vs Clemson - Basketball - Girls,10/20/2015 12:46,1974-02-21 | 740035,uva-lib:2552389,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,f315306083459c06a855003a492c2d16,,,FALSE,,,
1223617,image,000033215_0039.tif,155898258,Site Plan of Birdwood,10/20/2015 12:46,1974-02-26 | 740036,uva-lib:2552390,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,c1241e22bcb7b4c667506eeea33011b9,,,FALSE,,,
1223618,image,000033215_0040.tif,160161790,Site Plan of Birdwood,10/20/2015 12:46,1974-02-26 | 740036,uva-lib:2552391,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,0e1a30f02d5fad9d9ff69c94554aa92e,,,FALSE,,,
1223619,image,000033215_0041.tif,26916188,Steve Sebo & others with season tickets,10/20/2015 12:46,1974-02-27 | 740037,uva-lib:2552392,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,30632bae7d564d932dfc065543926e53,,,FALSE,,,
1223620,image,000033215_0042.tif,26958116,Steve Sebo & others with season tickets,10/20/2015 12:46,1974-02-27 | 740037,uva-lib:2552393,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,fe654c5ce0053f57f8c31241cc879775,,,FALSE,,,
1223621,image,000033215_0043.tif,26533420,Women's Basketball,10/20/2015 12:46,1974 | 740038,uva-lib:2552394,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,9dd3e70a31338c123d69fc644b74a38d,,,FALSE,,,
1223622,image,000033215_0044.tif,26410376,Women's Basketball,10/20/2015 12:46,1974 | 740038,uva-lib:2552395,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,dbea8a9fd65d541c35bc2a479664cdc7,,,FALSE,,,
1223623,image,000033215_0045.tif,26633724,Women's Basketball,10/20/2015 12:46,1974 | 740038,uva-lib:2552396,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,461e1d73c177b812515c4635ed15b22b,,,FALSE,,,
1223624,image,000033215_0046.tif,26688384,Art Dept.,10/20/2015 12:46,February 1974 | 740039,uva-lib:2552397,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,9bce31cb6ef3cd5ca28a191d1b54ea6e,,,FALSE,,,
1223625,image,000033215_0047.tif,26925294,Art Dept.,10/20/2015 12:46,February 1974 | 740039,uva-lib:2552398,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,bbf9fd653e044c1fe04814cb62f2f793,,,FALSE,,,
1223626,image,000033215_0048.tif,26789656,Art Dept.,10/20/2015 12:46,February 1974 | 740039,uva-lib:2552399,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,aa646893dffb98b99d22c45dda69709c,,,FALSE,,,
1223627,image,000033215_0049.tif,26914964,Art Dept.,10/20/2015 12:46,February 1974 | 740039,uva-lib:2552400,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,4b28ef2653e99a8c19a40fe54845eee2,,,FALSE,,,
1223628,image,000033215_0050.tif,26935118,Swimming,10/20/2015 12:46,February 1974 | 740039,uva-lib:2552401,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,12745ae705a499798823d07a566e7065,,,FALSE,,,
1223629,image,000033215_0051.tif,26363266,Swimming,10/20/2015 12:46,February 1974 | 740039,uva-lib:2552402,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,85af1bc024b6c7d43c4c5855f976d91a,,,FALSE,,,
1223630,image,000033215_0052.tif,26556478,Swimming,10/20/2015 12:46,February 1974 | 740039,uva-lib:2552403,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,f549c50f08a47cc568dab3205f96b7dc,,,FALSE,,,
1223631,image,000033215_0053.tif,26811956,Swimming,10/20/2015 12:46,February 1974 | 740039,uva-lib:2552404,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,141b448bec3de9d40d016a52818282c9,,,FALSE,,,
1223632,image,000033215_0054.tif,26158734,Swimming,10/20/2015 12:46,February 1974 | 740039,uva-lib:2552405,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,7ba850a96b7b18be0762a2ecd2301b0c,,,FALSE,,,
1223633,image,000033215_0055.tif,26625246,Ice Hockey,10/20/2015 12:46,March 1974 | 740041,uva-lib:2552406,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,8e417e05321318505fe63a2f10ef952b,,,FALSE,,,
1223634,image,000033215_0056.tif,26335546,Ice Hockey,10/20/2015 12:46,March 1974 | 740041,uva-lib:2552407,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,d558bdf7182f54b70203fabe9e1b9b5d,,,FALSE,,,
1223635,image,000033215_0057.tif,27138692,Ice Hockey,10/20/2015 12:46,March 1974 | 740041,uva-lib:2552408,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,116a9860b3f840ba36eb309a219305cd,,,FALSE,,,
1223636,image,000033215_0058.tif,27075496,Cabell Hall,10/20/2015 12:46,March 1974 | 740042,uva-lib:2552409,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,5c5f24afd03a18fe2f2b839c8a93769c,,,FALSE,,,
1223637,image,000033215_0059.tif,26961382,Cabell Hall,10/20/2015 12:46,March 1974 | 740042,uva-lib:2552410,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,ba56d55fcb6f2191796e95cc82183761,,,FALSE,,,
1223638,image,000033215_0060.tif,26950946,Cabell Hall,10/20/2015 12:46,March 1974 | 740042,uva-lib:2552411,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,6495668815f5323062b7f1a398d3535f,,,FALSE,,,
1223639,image,000033215_0061.tif,26984122,Cabell Hall,10/20/2015 12:46,March 1974 | 740042,uva-lib:2552412,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,0db88bb54448b7b939894537fcc2b7cf,,,FALSE,,,
1223640,image,000033215_0062.tif,26069392,Masters & Johnson (Team on Sexual Behavior),10/20/2015 12:46,March 1974 | 740043,uva-lib:2552413,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,db1017fa9e8ffd7896e7defd0c78e725,,,FALSE,,,
1223641,image,000033215_0063.tif,26121376,Masters & Johnson (Team on Sexual Behavior),10/20/2015 12:46,March 1974 | 740043,uva-lib:2552414,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,15b2b35159c0941bf5dcf3eb74a11205,,,FALSE,,,
1223642,image,000033215_0064.tif,26792994,Masters & Johnson (Team on Sexual Behavior),10/20/2015 12:46,March 1974 | 740043,uva-lib:2552415,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,627151beb5f1ea8630c507cf78043885,,,FALSE,,,
1223643,image,000033215_0065.tif,25413368,Earl Scruggs Band-Concert at Univ Hall,10/20/2015 12:46,March 1974 | 740044,uva-lib:2552416,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,bd9c124c5a9c47f059bb24102e8a5e1e,,,FALSE,,,
1223644,image,000033215_0066.tif,25253768,Earl Scruggs Band-Concert at Univ Hall,10/20/2015 12:46,March 1974 | 740044,uva-lib:2552417,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,09c2cc33cb1f697f7dc149924bc49aca,,,FALSE,,,
1223645,image,000033215_0067.tif,28208246,Earl Scruggs Band-Concert at Univ Hall,10/20/2015 12:46,March 1974 | 740044,uva-lib:2552418,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,4f313322bc6511b7022e7d6ece6dde21,,,FALSE,,,
1223646,image,000033215_0068.tif,25353608,Earl Scruggs Band-Concert at Univ Hall,10/20/2015 12:46,March 1974 | 740044,uva-lib:2552419,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,c9a297157a73003e53b3b4e8c070b151,,,FALSE,,,
1223647,image,000033215_0069.tif,26702510,"General Scenes (dorms, contract cafeteria)",10/20/2015 12:46,March 1974 | 740045,uva-lib:2552420,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,aaf9697e97b59d4020884e91f62df81c,,,FALSE,,,
1223648,image,000033215_0070.tif,26599928,"General Scenes (dorms, contract cafeteria)",10/20/2015 12:46,March 1974 | 740045,uva-lib:2552421,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,7c1429daf629070ad6695d14fa439c44,,,FALSE,,,
1223649,image,000033215_0071.tif,27252800,"General Scenes (dorms, contract cafeteria)",10/20/2015 12:46,March 1974 | 740045,uva-lib:2552422,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,bce82ebf8a087dea0a049237a37fdf5f,,,FALSE,,,
1223650,image,000033215_0072.tif,26600744,"General Scenes (dorms, contract cafeteria)",10/20/2015 12:46,March 1974 | 740045,uva-lib:2552423,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,7da88b83ddbbf3576e8c13f3677e3e91,,,FALSE,,,
1223651,image,000033215_0073.tif,26995070,Lacross,10/20/2015 12:46,March 1974 | 740046,uva-lib:2552424,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,e4d935adb5aa3596a3c2c87be98817ff,,,FALSE,,,
1223652,image,000033215_0074.tif,27135284,Lacross,10/20/2015 12:46,March 1974 | 740046,uva-lib:2552425,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,5cc10bd9f7ad0282a0b78d47184b8606,,,FALSE,,,
1223653,image,000033215_0075.tif,26956988,Lacross,10/20/2015 12:46,March 1974 | 740046,uva-lib:2552426,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,c70ed9766c17f8e8cc97b76a3d146f18,,,FALSE,,,
1223654,image,000033215_0076.tif,27219228,Lacross,10/20/2015 12:46,March 1974 | 740046,uva-lib:2552427,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,21526125dd549ba10a3ec992f7e3c996,,,FALSE,,,
1223655,image,000033215_0077.tif,26299052,Chemistry Dept.,10/20/2015 12:46,March 1974 | 740047,uva-lib:2552428,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,afdfc20a56a2a2f0b6d74cad064fd418,,,FALSE,,,
1223656,image,000033215_0078.tif,27201488,Chemistry Dept.,10/20/2015 12:46,March 1974 | 740047,uva-lib:2552429,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,766c7396654a51b9011460532ca21a36,,,FALSE,,,
